iter	Passed	Remaining
649	6565	3535
650	6575	3525
651	6582	3513
652	6599	3507
653	6606	654	6662	3509
655	6672	3498
656	6687	3491
657	6694	3479
658	6701	3467
659	6710	3456
660	6714	3443
661	6728	3435
662	6733	3422
663	6739	3410
664	6749	3400
665	6665	6693	666	6764	3377
667	6787	3373
668	6795	3362
669	6800	3349
670	6803	3336
671	6817	3327
672	6825	3316
673	6835	3305
674	6839	3292
675	6844	3280
676	6856	3271
677	6862	3259
678	6868	3247
679	6874	3234
680	6880	3223
681	6886	3210
682	6895	3200
683	6899	3187
684	6905	3175
685	6916	3165
686	6919	3152
687	6924	3140
688	6933	3129
689	6939	3117
690	6950	3108
691	6954	3095
692	6961	3084
693	6974	3075
694	6694	6925	3039
695	6932	3028
696	6940	3017
697	6947	3006
698	6960	2997
699	6966	2985
700	6979	2976
701	6986	2965
702	6991	703	7062	2969
704	7070	2958
705	7077	2947
706	7082	2935
707	7088	2923
708	7096	2912
709	7104	2902
710	7109	2889
711	7113	2877
712	7119	2865
713	7125	2854
714	7132	2843
715	7146	2834
716	7174	2831
717	7180	2820
718	7187	2809
719	7206	2802
720	7219	2793
721	7226	2782
722	7231	2770
723	7246	2762
724	7250	2750
725	7257	2739
726	7260	2726
727	7265	2714
728	7276	2704
729	7280	2692
730	7730	7205	2651
731	7214	2641
732	7222	2631
733	7234	2621
734	7243	2611
735	7248	2599
736	7251	2587
737	7257	2576
738	7262	2564
739	7268	2553
740	7283	2545
741	7290	2535
742	7297	2524
743	7303	2512
744	7309	2501
745	7315	2490
746	7319	2479
747	7325	2467
748	7334	2457
749	7342	2447
750	7349	2436
751	7356	2425
752	7362	2415
753	7367	2403
754	7378	2394
755	7407	2390
756	7416	2380
757	7427	2371
758	7433	2360
759	7439	2349
760	7444	2337
761	7451	2327
762	7456	2316
763	7464	2305
764	7468	2294
765	7478	2284
766	7484	2273
767	7489	2262
768	7499	2252
769	7508	2242
770	7516	2232
771	7524	2222
772	7528	2210
773	7538	2201
774	7544	2190
775	7604	2195
776	7613	2184
777	7624	2175
778	7632	2165
779	7669	2163
780	7684	2154
781	7695	2145
782	7702	2134
783	7711	2124
784	7719	2114
785	7727	2104
786	7731	2092
787	7745	2083
788	7755	2073
789	7771	2065
790	7808	2063
791	7813	2052
792	7831	2044
793	7840	2034
794	7849	2024
795	7855	2013
796	7859	2001
797	7881	1994
798	7888	1984
799	7894	1973
800	7903	1963
801	7911	1953
802	7918	1942
803	7927	1932
804	7935	1922
805	7943	1911
806	7964	1904
807	7976	1895
808	7983	1884
809	7994	1875
810	7998	1863
811	8004	1853
812	8014	1843
813	8021	1833
814	8028	1822
815	8042	1813
816	8059	1805
817	8071	1795
818	8084	1786
819	8090	1776
820	8108	1767
821	8114	1757
822	8122	1746
823	8127	1735
824	8133	1725
825	8140	1714
826	8149	1704
827	8153	1693
828	8160	1683
829	8167	1672
830	8173	1662
831	8184	1652
832	8194	1642
833	8208	1633
834	8217	1623
835	8252	1618
836	8257	1608
837	8262	1597
838	8270	1587
839	8281	1577
840	8287	1566
841	8297	1556
842	8309	1547
843	8317	1537
844	8328	1527
845	8338	1517
846	8361	1510
847	8372	1500
848	8378	1490
849	8391	1480
850	8403	1471
851	8419	1462
852	8429	1452
853	8459	1446
854	8470	1436
855	8485	1427
856	8491	1416
857	8499	1406
858	8519	1398
859	8531	1388
860	8537	1378
861	8570	1372
862	8576	1361
863	8584	1351
864	8589	1340
865	8598	1330
866	8605	1320
867	8612	1309
868	8618	1299
869	8626	1289
870	8633	1278
871	8639	1268
872	8645	1257
873	8648	1246
874	8654	1236
875	8660	1225
876	8666	1215
877	8670	1204
878	8675	1194
879	8683	1184
880	8691	1173
881	8699	1163
882	8710	1154
883	8713	1143
884	8723	1133
885	8730	1123
886	8738	1113
887	8750	1103
888	8757	1093
889	8764	1083
890	8790	1075
891	8800	1065
892	8804	1054
893	8810	1044
894	8815	1034
895	8824	1024
896	8830	1013
897	8839	1003
898	8845	993
