,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,oppAbrv,GAME_ID,GAME_DATE,overUnder,hitRateLast5,hitRateLast10,hitRateLast20,hitRateSeason,hitRateVsOpp,hitRateSum,totalHitRateOverFifty,hitRateEdgeFactor,traded,OpponentPerformanceComparisonMAFlag,playerImpactComparisonMAFlag,OppDefensiveRanking,OppDefensiveRating,againstTopQuortileDefense,againstTopHalfDefense,Market Name,Site Less,Site More,Position
45,203110,Draymond Green,GSW,HOU,22301113,2024-04-04,0,0.600000,0.600000,0.400000,0.600000,0.250000,2.450000,3,0,0,1,1,8.0,110.82933333333334,0,1,Points,-112,-152,F
46,203110,Draymond Green,GSW,HOU,22301113,2024-04-04,0,0.400000,0.600000,0.500000,0.550000,0.000000,2.050000,2,0,0,1,1,8.0,110.82933333333334,0,1,PTS+REB+AST,-117,-145,F
47,203110,Draymond Green,GSW,HOU,22301113,2024-04-04,1,0.400000,0.400000,0.500000,0.540000,0.500000,2.340000,1,0,0,1,1,8.0,110.82933333333334,0,1,Blocks,-115,-148,F
48,203110,Draymond Green,GSW,HOU,22301113,2024-04-04,0,0.200000,0.300000,0.350000,0.340000,0.000000,1.190000,0,0,0,1,1,8.0,110.82933333333334,0,1,Rebounds,-136,-125,F
49,203110,Draymond Green,GSW,HOU,22301113,2024-04-04,0,0.600000,0.400000,0.500000,0.520000,0.500000,2.520000,2,0,0,0,1,8.0,110.82933333333334,0,1,Turnovers,-145,-115,F
50,1630529,Herbert Jones,NOP,CHI,22300823,2024-02-25,1,0.800000,0.500000,0.450000,0.380000,0.670000,2.800000,2,0,0,0,1,21.0,115.37321428571428,0,0,PTS+REB+AST,-118,-143,F
51,1630529,Herbert Jones,NOP,CHI,22300823,2024-02-25,1,0.800000,0.600000,0.500000,0.400000,0.670000,2.970000,3,0,0,0,1,21.0,115.37321428571428,0,0,Points,-114,-148,F
52,1630529,Herbert Jones,NOP,CHI,22300823,2024-02-25,1,0.600000,0.600000,0.550000,0.370000,0.330000,2.450000,3,0,0,1,1,21.0,115.37321428571428,0,0,3PT Made,-125,-136,F
53,1630529,Herbert Jones,NOP,NYK,22300837,2024-02-27,0,0.800000,0.600000,0.500000,0.450000,0.330000,2.680000,2,0,0,1,1,14.0,113.31724137931033,0,1,PTS+REB+AST,-117,-143,F
54,1630529,Herbert Jones,NOP,NYK,22300837,2024-02-27,1,0.800000,0.700000,0.550000,0.410000,0.330000,2.790000,3,0,0,1,1,14.0,113.31724137931033,0,1,Points,-150,-113,F
