,Line,Site Less,Site More,Prediction,Lean,DFS Pickem Sites Factor,Sportsbooks Factor,RotoWire Projection Factor,Hit Rate Factor,RotoWire Projection,Weighted Hit Rate,At Home,Average Line Variance,Implied Less ,Implied More ,Hit Rate Last 10,Hit Rate Last 10 Outcomes,Hit Rate Last 20 Outcomes,Hit Rate Last 30 Outcomes,Hit Rate Last 5 Outcomes,Hit Rate Previous Season,Hit Rate Season,Hit Rate Vs Opponent,RotoWire Projection Difference,RotoWire Projection Difference ,PrizePicks,PrizePicks Line,Underdog,Underdog Line,DraftKings Pick6,DraftKings Pick6 Line,BetMGM Line,BetMGM Less,BetMGM More,BetMGM Less ,BetMGM More ,BetRivers Line,BetRivers Less,BetRivers More,BetRivers Less ,BetRivers More ,DraftKings Line,DraftKings Less,DraftKings More,DraftKings Less ,DraftKings More ,FanDuel Line,FanDuel Less,FanDuel More,FanDuel Less ,FanDuel More ,PointsBet Line,PointsBet Less,PointsBet More,PointsBet Less ,PointsBet More 
485,1.5,-143,-118,-0.3,0,0,-2.6,-5.8,10.0,1.38,54,1,0,52,48,60,11001111,1.1e+17,1.1000000000000001e+27,110,56,44,43,-0.12,-7.71,1.5,1.5,-1,-1,-1,-1,1.5,-125,-105,52,48,1.5,-113,-118,49,51,-1,-1,-1,-1,-1,1.5,-122,-104,52,48,-1,-1,-1,-1,-1
486,13.5,-141,-120,0.2,1,0,-3.4,34.4,-25.0,14.53,40,0,0,52,48,40,1000010101,1e+19,1.0000000000000001e+29,10000,48,40,23,1.03,7.64,13.5,13.5,13.5,13.5,-1,-1,13.5,-125,-105,52,48,-1,-1,-1,-1,-1,13.5,-125,-105,52,48,13.5,-128,100,53,47,13.5,-125,-105,52,48
487,22.5,-137,-122,-0.2,0,0,-13,4.3,25.0,22.63,60,0,0.3,51,49,60,1101101100,1.1e+19,1.1e+29,11011,44,41,20,0.13,0.57,22.5,22.5,22.5,22.5,-1,-1,22.5,-120,-110,51,49,22.5,-109,104,52,48,22.5,-120,-110,51,49,21.5,-102,-128,47,53,21.5,-105,-125,48,52
488,24.5,-122,-137,0.1,1,0,13.4,-15.4,-15.0,24.04,44,1,0.3,49,51,50,101111,1010000000000000.0,1.0099999999999999e+25,1,62,51,100,-0.46,-1.89,24.5,24.5,24.5,24.5,-1,-1,24.5,-110,-120,49,51,25.5,-107,100,51,49,24.5,-110,-120,49,51,25.5,-122,-104,52,48,24.5,-110,-120,49,51
489,22.5,-124,-137,-0.1,0,0,7.8,-16.3,-2.5,22.01,49,0,0.1,49,51,40,1110010000,1.11e+19,1.11e+29,11100,-1,39,11,-0.49,-2.17,22.5,22.5,22.5,22.5,-1,-1,22.5,-110,-120,49,51,23.5,110,108,50,50,22.5,-110,-120,49,51,22.5,-111,-115,50,50,22.5,-110,-120,49,51
490,33.5,-124,-136,-0.1,0,0,16.3,-18.6,-20.0,32.94,42,1,0.3,49,51,40,101110000,1.01e+18,1.01e+28,1011,23,41,14,-0.56,-1.67,33.5,33.5,33.5,33.5,-1,-1,33.5,-110,-120,49,51,-1,-1,-1,-1,-1,33.5,-110,-120,49,51,34.5,-122,-104,52,48,34.5,-120,-110,51,49
491,1.5,-132,-127,0.0,0,0,-2.3,7.6,-2.5,1.65,49,1,0,50,50,40,1100001010,1.1e+19,1.1e+29,11000,67,50,56,0.15,10.1,1.5,1.5,-1,-1,-1,-1,1.5,-120,-110,51,49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
492,24.5,-143,-118,-35.6,0,-33.3,-20.3,-92.0,-20.0,21.74,42,1,0.7,52,48,40,1110001000,1.11e+19,1.11e+29,11100,76,35,100,-2.76,-11.26,23.5,23.5,-1,-1,-1,-1,24.5,-130,-105,52,48,23.5,112,-113,47,53,24.5,-125,-105,52,48,23.5,-115,-111,50,50,23.5,-110,-120,49,51
493,38.5,-134,-127,-31.2,0,-33.3,-1.1,-100.0,-27.5,35.16,39,1,0.2,51,49,40,110101,1100000000000000.0,1.0999999999999998e+25,1,30,41,9,-3.34,-8.67,37.5,37.5,-1,-1,-1,-1,38.5,-120,-110,51,49,38.5,-104,-106,50,50,38.5,-115,-115,50,50,38.5,-122,-104,52,48,38.5,-120,-110,51,49
494,24.5,-118,-143,25.6,1,0,19.8,71.7,52.5,26.65,71,1,0.5,48,52,70,1011111001,1.01e+19,1.01e+29,10111,20,33,50,2.15,8.78,24.5,24.5,-1,-1,-1,-1,24.5,-105,-125,48,52,25.5,-107,102,51,49,24.5,-105,-125,48,52,25.5,-120,-106,51,49,25.5,-125,-105,52,48
495,12.5,-145,-115,-24.7,0,-33.3,-9.3,-42.9,-22.5,11.21,41,1,0.3,53,47,40,1011001000,1.01e+19,1.01e+29,10110,81,33,100,-1.29,-10.28,11.5,11.5,-1,-1,-1,-1,12.5,-130,-105,52,48,12.5,-108,110,52,48,12.5,-130,100,53,47,11.5,-104,-122,48,52,12.5,-130,100,53,47
496,41.5,-136,-124,-24.1,0,-33.3,6.1,-49.7,-47.5,40.01,31,0,0.3,51,49,30,10000101,1e+17,1.0000000000000002e+27,100,29,34,7,-1.49,-3.59,40.5,40.5,-1,-1,-1,-1,41.5,-120,-110,51,49,42.5,106,100,49,51,41.5,-120,-110,51,49,41.5,-111,-115,50,50,41.5,-120,-110,51,49
497,19.5,-124,-137,21.1,1,0,1.5,94.3,42.5,22.33,67,1,0,49,51,70,1101011110,1.1e+19,1.1e+29,11010,48,65,23,2.83,14.51,19.5,19.5,-1,-1,-1,-1,19.5,-110,-120,49,51,-1,-1,-1,-1,-1,19.5,-110,-120,49,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
498,14.5,-114,-148,17.6,1,0,10.2,53.8,40.0,16.11,66,1,0.2,47,53,60,1111100100,1.11e+19,1.11e+29,11111,23,38,14,1.61,11.13,14.5,14.5,-1,-1,-1,-1,14.5,100,-135,47,53,15.5,-103,115,52,48,14.5,100,-130,47,53,14.5,100,-128,47,53,14.5,105,-140,46,54
499,21.5,-121,-139,16.6,1,33.3,8.7,29.9,-17.5,22.4,43,1,0.3,48,52,40,110010010,1.1e+18,1.1000000000000002e+28,1100,6,38,0,0.9,4.17,22.5,22.5,-1,-1,-1,-1,21.5,-105,-125,48,52,22.5,112,106,49,51,21.5,-105,-125,48,52,21.5,-113,-113,50,50,21.5,-105,-125,48,52
500,18.5,-129,-132,15.9,1,0,1.5,100.0,2.5,22.69,51,1,0,50,50,60,1100011101,1.1e+19,1.1e+29,11000,49,40,67,4.19,22.67,18.5,18.5,-1,-1,-1,-1,18.5,-105,-125,48,52,-1,-1,-1,-1,-1,18.5,-115,-115,50,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
501,30.5,-120,-141,15.7,1,33.3,14.6,10.7,-17.5,30.82,43,1,0.5,48,52,50,1010100101,1.01e+19,1.01e+29,10101,68,53,63,0.32,1.05,31.5,31.5,-1,-1,-1,-1,30.5,-105,-125,48,52,31.5,100,-108,49,51,30.5,-105,-125,48,52,31.5,-122,-104,52,48,30.5,-110,-120,49,51
502,25.5,-132,-127,-15.6,0,0,0.2,-89.4,-15.0,22.82,44,1,0,50,50,40,101110000,1.01e+18,1.01e+28,1011,44,44,54,-2.68,-10.52,25.5,25.5,-1,-1,-1,-1,25.5,-120,-115,50,50,25.5,100,-105,49,51,25.5,-115,-115,50,50,25.5,-115,-111,50,50,25.5,-110,-120,49,51
503,13.5,-139,-121,-15.1,0,-33.3,5.1,12.5,-47.5,13.87,31,0,0.3,52,48,20,1000001000,1e+19,1.0000000000000001e+29,10000,29,37,0,0.37,2.77,12.5,12.5,-1,-1,-1,-1,13.5,-125,-105,52,48,14.5,114,114,50,50,13.5,-125,-105,52,48,13.5,-113,-113,50,50,13.5,-120,-110,51,49
504,30.5,-137,-122,-14.8,0,0,6.2,-70.3,-42.5,28.39,33,0,0.2,51,49,30,10001100,1e+17,1.0000000000000002e+27,100,26,39,7,-2.11,-6.91,30.5,30.5,-1,-1,-1,-1,30.5,-120,-110,51,49,31.5,107,104,50,50,30.5,-120,-110,51,49,30.5,-113,-113,50,50,30.5,-115,-115,50,50
505,19.5,-148,-114,-14.7,0,0,-4.1,-51.1,-37.5,17.97,35,1,0,53,47,40,1010010001,1.01e+19,1.01e+29,10100,64,40,6,-1.53,-7.85,19.5,19.5,-1,-1,-1,-1,19.5,-130,100,53,47,-1,-1,-1,-1,-1,19.5,-130,100,53,47,-1,-1,-1,-1,-1,19.5,-125,-105,52,48
506,16.5,-120,-141,14.5,1,0,19.5,51.0,0.0,18.03,50,1,0.5,48,52,50,11011001,1.1e+17,1.1000000000000001e+27,110,15,33,33,1.53,9.28,16.5,16.5,-1,-1,-1,-1,16.5,-105,-125,48,52,17.5,-107,104,51,49,16.5,-105,-125,48,52,17.5,-125,-102,52,48,17.5,-125,-105,52,48
507,45.5,-134,-127,-14.3,0,0,12.6,-100.0,-25.0,41.92,40,1,0.3,51,49,40,100100110,1e+18,1e+28,1001,31,41,29,-3.58,-7.87,45.5,45.5,-1,-1,-1,-1,45.5,-120,-110,51,49,46.5,108,104,50,50,45.5,-115,-115,50,50,46.5,-122,-104,52,48,45.5,-115,-115,50,50
508,26.5,-120,-141,13.9,1,-1,8.5,12.8,60.0,26.89,74,1,0.2,48,52,80,111111110,1.11e+18,1.11e+28,1111,25,29,40,0.39,1.45,-1,-1,-1,-1,-1,-1,26.5,-105,-125,48,52,27.5,100,-105,49,51,26.5,-105,-125,48,52,26.5,-106,-120,49,51,26.5,-115,-115,50,50
509,3.5,-130,-129,13.9,1,0,2.3,49.9,37.5,4.5,65,0,0,50,50,60,1111010100,1.11e+19,1.11e+29,11110,42,60,15,1.0,28.51,3.5,3.5,-1,-1,-1,-1,3.5,-115,-115,50,50,3.5,-107,-124,48,52,3.5,-115,-115,50,50,3.5,102,-130,47,53,3.5,-115,-115,50,50
510,27.5,-127,-134,-13.6,0,0,6.9,-84.7,-22.5,24.96,41,1,0.2,49,51,40,110101,1100000000000000.0,1.0999999999999998e+25,1,30,47,18,-2.54,-9.24,27.5,27.5,-1,-1,-1,-1,27.5,-110,-120,49,51,28.5,104,110,51,49,27.5,-110,-120,49,51,27.5,-115,-111,50,50,27.5,-115,-115,50,50
511,36.5,-130,-129,-13.3,0,0,0.2,-76.6,-12.5,34.2,45,1,0,50,50,40,101110000,1.01e+18,1.01e+28,1011,48,40,46,-2.3,-6.29,36.5,36.5,-1,-1,-1,-1,36.5,-115,-115,50,50,36.5,-105,-103,50,50,36.5,-115,-115,50,50,36.5,-113,-113,50,50,36.5,-110,-120,49,51
512,31.5,-141,-120,-13.1,0,0,-1.6,-41.2,-42.5,30.26,33,0,0,52,48,40,10011001,1e+17,1.0000000000000002e+27,100,74,46,33,-1.24,-3.92,31.5,31.5,-1,-1,-1,-1,31.5,-125,-105,52,48,31.5,-105,-104,50,50,31.5,-125,-105,52,48,31.5,-113,-113,50,50,31.5,-120,-110,51,49
514,7.5,-112,-152,12.6,1,-1,10.1,55.2,5.0,9.16,52,0,0.2,47,53,60,1001011110,1e+19,1.0000000000000001e+29,10010,47,45,29,1.66,22.07,-1,-1,-1,-1,-1,-1,7.5,100,-135,47,53,8.5,107,123,52,48,7.5,100,-130,47,53,7.5,104,-132,46,54,7.5,100,-130,47,53
515,26.5,-129,-132,11.8,1,0,7.3,61.6,0.0,28.35,50,0,0.2,50,50,50,101110010,1.01e+18,1.01e+28,1011,33,53,30,1.85,6.97,26.5,26.5,-1,-1,-1,-1,26.5,-115,-120,50,50,27.5,108,110,50,50,26.5,-115,-115,50,50,26.5,-104,-122,48,52,26.5,-115,-115,50,50
516,15.5,-114,-148,11.3,1,0,13.7,28.2,15.0,16.35,56,0,0.3,47,53,60,1101000111,1.1e+19,1.1e+29,11010,13,33,14,0.85,5.46,15.5,15.5,-1,-1,-1,-1,15.5,100,-130,47,53,16.5,-109,108,52,48,15.5,-105,-125,48,52,16.5,-128,100,53,47,15.5,-110,-120,49,51
517,0.5,-139,-121,-11.2,0,0,-6.1,16.8,-77.5,0.75,19,0,0,52,48,10,10000,100000000000000.0,1e+24,0,44,44,0,0.25,50.43,0.5,0.5,-1,-1,-1,-1,0.5,-125,-105,52,48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
518,9.5,-114,-148,11.2,1,0,3.5,46.2,20.0,10.88,58,1,0,47,53,60,1100011110,1.1e+19,1.1e+29,11000,59,65,32,1.38,14.58,9.5,9.5,-1,-1,-1,-1,9.5,100,-130,47,53,9.5,-105,-127,48,52,9.5,100,-130,47,53,9.5,-106,-120,49,51,9.5,-105,-125,48,52
519,33.5,-139,-121,-10.8,0,0,-2.8,-15.8,-50.0,33.03,30,0,0,52,48,30,1001100000,1e+19,1.0000000000000001e+29,10011,41,30,75,-0.47,-1.42,33.5,33.5,-1,-1,-1,-1,33.5,-130,-105,52,48,-1,-1,-1,-1,-1,33.5,-120,-110,51,49,-1,-1,-1,-1,-1,33.5,-125,-105,52,48
521,4.5,-139,-121,-10.6,0,-1,-4.6,7.7,-67.5,4.65,23,0,0,52,48,20,101000,1010000000000000.0,1.0099999999999999e+25,1,56,38,33,0.15,3.43,-1,-1,-1,-1,-1,-1,4.5,-125,-105,52,48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
522,13.5,-143,-118,-10.5,0,0,-2.5,25.6,-90.0,14.27,14,0,0,52,48,0,0,1111100011.0,1.11e+19,0,44,42,50,0.77,5.69,13.5,13.5,-1,-1,-1,-1,13.5,-125,-105,52,48,-1,-1,-1,-1,-1,13.5,-125,-105,52,48,-1,-1,-1,-1,-1,13.5,-120,-110,51,49
523,10.5,-150,-113,-10.4,0,-1,-5.2,-9.5,-47.5,10.22,31,0,0,53,47,30,111000,1110000000000000.0,1.1099999999999998e+25,1,54,33,33,-0.28,-2.71,-1,-1,-1,-1,-1,-1,10.5,-135,100,53,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
524,32.5,-118,-143,-10.3,0,0,22,-100.0,-20.0,29.44,42,1,0.5,48,52,40,110100100,1.1e+18,1.1000000000000002e+28,1101,46,43,29,-3.06,-9.42,32.5,32.5,-1,-1,-1,-1,32.5,105,-140,46,54,33.5,102,-109,49,51,32.5,100,-130,47,53,33.5,-118,-108,51,49,33.5,-120,-110,51,49
525,25.5,-130,-130,-10.2,0,0,6.7,-69.0,-15.0,23.43,44,0,0.2,50,50,50,110011010,1.1e+18,1.1000000000000002e+28,1100,32,47,44,-2.07,-8.11,25.5,25.5,-1,-1,-1,-1,25.5,-115,-115,50,50,26.5,-109,102,51,49,25.5,-115,-115,50,50,25.5,-106,-120,49,51,25.5,-115,-115,50,50
526,16.5,-124,-136,10.0,1,0,1.8,12.7,50.0,16.88,70,1,0,49,51,70,1111101010,1.11e+19,1.11e+29,11111,24,35,33,0.38,2.31,16.5,16.5,-1,-1,-1,-1,16.5,-110,-120,49,51,16.5,107,-109,48,52,16.5,-110,-120,49,51,16.5,-113,-113,50,50,16.5,-105,-125,48,52
527,0.5,-150,-113,-9.9,0,0,-10,7.4,-50.0,0.61,30,0,0,53,47,30,10011,100000000000000.0,1e+24,0,47,45,43,0.11,22.11,0.5,0.5,-1,-1,-1,-1,0.5,-135,100,53,47,0.5,-132,100,53,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
528,18.5,-143,-118,-9.9,0,0,-2,-61.2,0.0,16.66,50,1,0,52,48,40,1010100010,1.01e+19,1.01e+29,10101,24,35,11,-1.84,-9.93,18.5,18.5,-1,-1,-1,-1,18.5,-125,-105,52,48,-1,-1,-1,-1,-1,18.5,-125,-105,52,48,-1,-1,-1,-1,-1,18.5,-115,-115,50,50
529,1.5,-148,-114,-9.9,0,0,-8.2,-6.6,-40.0,1.37,34,1,0,53,47,40,101101,1010000000000000.0,1.0099999999999999e+25,1,38,49,58,-0.13,-8.82,1.5,1.5,-1,-1,-1,-1,1.5,-130,100,53,47,1.5,-143,108,55,45,1.5,-130,100,53,47,1.5,-132,106,54,46,1.5,-130,100,53,47
530,4.5,-122,-137,9.5,1,0,2.6,34.9,22.5,5.2,59,1,0,49,51,70,1100111110,1.1e+19,1.1e+29,11001,43,42,50,0.7,15.53,4.5,4.5,-1,-1,-1,-1,4.5,-110,-120,49,51,4.5,-106,-125,48,52,4.5,-110,-120,49,51,4.5,-104,-122,48,52,4.5,-115,-115,50,50
531,0.5,-118,-143,9.0,1,0,7.4,20.0,22.5,0.8,59,1,0,48,52,60,1111101000,1.11e+19,1.11e+29,11111,41,47,56,0.3,60.14,0.5,0.5,-1,-1,-1,-1,0.5,-105,-130,48,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
532,31.5,-121,-139,-8.9,0,0,8.2,-85.8,7.5,28.93,53,0,0.2,48,52,50,1101000110,1.1e+19,1.1e+29,11010,48,50,58,-2.57,-8.17,31.5,31.5,-1,-1,-1,-1,31.5,-110,-120,49,51,32.5,-108,100,51,49,31.5,-105,-125,48,52,31.5,-104,-122,48,52,31.5,-110,-120,49,51
533,20.5,-139,-121,-8.8,0,0,-0.9,-49.0,-7.5,19.03,47,0,0,52,48,50,101011001,1.01e+18,1.01e+28,1010,67,51,50,-1.47,-7.17,20.5,20.5,-1,-1,-1,-1,20.5,-125,-105,52,48,20.5,102,-106,49,51,20.5,-125,-105,52,48,20.5,-113,-113,50,50,20.5,-115,-115,50,50
534,0.5,-130,-129,8.8,1,0,-3,17.9,47.5,0.77,69,0,0,50,50,80,111111101,1.11e+18,1.11e+28,1111,50,44,58,0.27,53.81,0.5,0.5,-1,-1,-1,-1,0.5,-115,-115,50,50,-1,-1,-1,-1,-1,0.5,-120,-110,51,49,-1,-1,-1,-1,-1,0.5,-125,-105,52,48
535,24.5,-132,-129,8.7,1,0,6.4,2.9,40.0,24.59,66,0,0.2,50,50,70,1110101101,1.11e+19,1.11e+29,11101,34,44,15,0.09,0.36,24.5,24.5,-1,-1,-1,-1,24.5,-120,-115,50,50,25.5,106,110,50,50,24.5,-115,-115,50,50,24.5,-113,-113,50,50,24.5,-115,-115,50,50
536,9.5,-113,-150,8.6,1,-1,8.6,15.1,22.5,9.95,59,1,0.2,47,53,50,1001110010,1e+19,1.0000000000000001e+29,10011,26,32,60,0.45,4.76,-1,-1,-1,-1,-1,-1,9.5,-110,-120,49,51,10.5,110,115,51,49,9.5,-105,-125,48,52,9.5,-104,-122,48,52,9.5,-105,-125,48,52
537,1.5,-136,-124,-8.6,0,0,-2.3,5.3,-57.5,1.61,27,0,0,51,49,20,1001000000,1e+19,1.0000000000000001e+29,10010,32,40,40,0.11,7.07,1.5,1.5,-1,-1,-1,-1,1.5,-120,-110,51,49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
538,8.5,-152,-112,8.4,1,0,-4.1,77.9,-12.5,10.84,45,1,0,53,47,50,1100001110,1.1e+19,1.1e+29,11000,47,31,67,2.34,27.5,8.5,8.5,-1,-1,-1,-1,8.5,-135,100,53,47,8.5,-127,-105,52,48,8.5,-130,100,53,47,8.5,-128,100,53,47,8.5,-125,-105,52,48
539,4.5,-145,-115,8.3,1,0,-5.4,38.0,30.0,5.26,62,1,0,53,47,70,111110110,1.11e+18,1.11e+28,1111,44,62,6,0.76,16.88,4.5,4.5,-1,-1,-1,-1,4.5,-130,100,53,47,-1,-1,-1,-1,-1,4.5,-130,100,53,47,-1,-1,-1,-1,-1,4.5,-120,-110,51,49
540,32.5,-129,-130,-8.3,0,0,0,2.3,-57.5,32.57,27,0,0,50,50,30,10101000,1.01e+17,1.0100000000000001e+27,101,26,26,24,0.07,0.21,32.5,32.5,-1,-1,-1,-1,32.5,-115,-115,50,50,-1,-1,-1,-1,-1,32.5,-115,-115,50,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
541,28.5,-122,-137,8.3,1,0,7.9,41.8,-5.0,29.75,48,0,0.2,49,51,60,101010111,1.01e+18,1.01e+28,1010,13,25,0,1.25,4.4,28.5,28.5,-1,-1,-1,-1,28.5,-110,-120,49,51,29.5,110,110,50,50,28.5,-105,-125,48,52,28.5,-108,-118,49,51,28.5,-115,-115,50,50
542,15.5,-145,-115,-8.3,0,-1,-3,-43.2,-5.0,14.2,48,0,0,53,47,50,111100100,1.11e+18,1.11e+28,1111,68,49,63,-1.3,-8.36,-1,-1,-1,-1,-1,-1,15.5,-130,-105,52,48,15.5,102,102,50,50,-1,-1,-1,-1,-1,15.5,-125,-102,52,48,15.5,-130,100,53,47
543,20.5,-130,-129,-8.2,0,0,-0.5,-33.6,-20.0,19.49,42,0,0,50,50,50,1001110010,1e+19,1.0000000000000001e+29,10011,43,32,75,-1.01,-4.92,20.5,20.5,-1,-1,-1,-1,20.5,-115,-115,50,50,-1,-1,-1,-1,-1,20.5,-115,-115,50,50,-1,-1,-1,-1,-1,20.5,-120,-110,51,49
544,3.5,-134,-127,-8.2,0,0,-4,14.6,-60.0,3.79,26,1,0,51,49,20,1000010,1e+16,1e+26,10,51,46,45,0.29,8.34,3.5,3.5,-1,-1,-1,-1,3.5,-120,-110,51,49,3.5,-132,-103,53,47,3.5,-120,-110,51,49,3.5,-128,100,53,47,3.5,-120,-110,51,49
545,50.5,-130,-130,-8.2,0,0,5.1,-83.7,17.5,47.15,57,0,0.2,50,50,60,1101001110,1.1e+19,1.1e+29,11010,47,42,42,-3.35,-6.63,50.5,50.5,-1,-1,-1,-1,50.5,-115,-115,50,50,51.5,104,102,50,50,50.5,-115,-115,50,50,50.5,-113,-113,50,50,50.5,-115,-115,50,50
546,25.5,-122,-137,8.1,1,0,1.5,58.2,-7.5,27.25,47,0,0,49,51,50,11001101,1.1e+17,1.1000000000000001e+27,110,58,47,14,1.75,6.85,25.5,25.5,-1,-1,-1,-1,25.5,-110,-120,49,51,-1,-1,-1,-1,-1,25.5,-110,-120,49,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
547,28.5,-127,-132,8.0,1,0,0.8,39.2,12.5,29.68,55,1,0,50,50,60,110101110,1.1e+18,1.1000000000000002e+28,1101,13,25,17,1.18,4.13,28.5,28.5,-1,-1,-1,-1,28.5,-110,-120,49,51,-1,-1,-1,-1,-1,28.5,-115,-115,50,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
548,4.5,-136,-124,-8.0,0,0,-3,18.9,-65.0,4.88,24,0,0,51,49,30,110010,1100000000000000.0,1.0999999999999998e+25,1,39,33,75,0.38,8.42,4.5,4.5,-1,-1,-1,-1,4.5,-120,-110,51,49,-1,-1,-1,-1,-1,4.5,-120,-110,51,49,-1,-1,-1,-1,-1,4.5,-125,-105,52,48
549,8.5,-132,-129,8.0,1,0,-0.2,51.0,2.5,10.03,51,1,0,50,50,60,101001111,1.01e+18,1.01e+28,1010,53,55,32,1.53,18.0,8.5,8.5,-1,-1,-1,-1,8.5,-115,-115,50,50,8.5,-107,-124,48,52,8.5,-115,-115,50,50,8.5,-120,-108,51,49,8.5,-120,-110,51,49
550,11.5,-122,-137,8.0,1,0,1.4,52.3,-2.5,13.07,49,0,0,49,51,40,1001001001,1e+19,1.0000000000000001e+29,10010,36,59,23,1.57,13.64,11.5,11.5,-1,-1,-1,-1,11.5,-110,-120,49,51,11.5,-117,-114,50,50,11.5,-105,-125,48,52,11.5,-113,-113,50,50,11.5,-105,-125,48,52
551,5.5,-148,-114,-7.9,0,0,-7.2,-25.8,-10.0,4.98,46,1,0,53,47,40,111001000,1.11e+18,1.11e+28,1110,18,44,11,-0.52,-9.39,5.5,5.5,-1,-1,-1,-1,5.5,-135,100,53,47,-1,-1,-1,-1,-1,5.5,-130,100,53,47,-1,-1,-1,-1,-1,5.5,-130,100,53,47
552,37.5,-137,-122,-7.8,0,0,-7.5,-54.4,20.0,35.87,58,0,0.2,51,49,60,1101001110,1.1e+19,1.1e+29,11010,71,48,54,-1.63,-4.35,37.5,37.5,-1,-1,-1,-1,37.5,-120,-110,51,49,37.5,-107,-103,50,50,37.5,-125,-105,52,48,36.5,-104,-122,48,52,37.5,-120,-110,51,49
553,3.5,-114,-148,7.7,1,-1,6.4,46.4,-10.0,4.43,46,1,0,47,53,50,1011001001,1.01e+19,1.01e+29,10110,61,42,25,0.93,26.51,-1,-1,-1,-1,-1,-1,3.5,100,-135,47,53,-1,-1,-1,-1,-1,3.5,100,-130,47,53,-1,-1,-1,-1,-1,3.5,-105,-125,48,52
554,16.5,-129,-130,7.5,1,0,7.2,48.4,-15.0,17.95,44,0,0.2,50,50,40,101110000,1.01e+18,1.01e+28,1011,41,50,20,1.45,8.79,16.5,16.5,-1,-1,-1,-1,16.5,-115,-115,50,50,17.5,112,112,50,50,16.5,-115,-115,50,50,16.5,-104,-122,48,52,16.5,-115,-115,50,50
555,6.5,-117,-145,7.5,1,0,2.1,27.4,17.5,7.32,57,0,0,48,52,60,1101010110,1.1e+19,1.1e+29,11010,31,47,50,0.82,12.62,6.5,6.5,-1,-1,-1,-1,6.5,-105,-130,48,52,6.5,-113,-118,49,51,6.5,-105,-125,48,52,6.5,-118,-108,51,49,6.5,100,-130,47,53
556,16.5,-139,-121,7.3,1,0,-1.9,53.1,0.0,18.09,50,0,0,52,48,50,1100010110,1.1e+19,1.1e+29,11000,48,48,22,1.59,9.66,16.5,16.5,-1,-1,-1,-1,16.5,-125,-110,51,49,-1,-1,-1,-1,-1,16.5,-120,-110,51,49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
557,0.5,-115,-145,7.1,1,0,7.7,4.5,25.0,0.57,60,1,0,47,53,50,1111000001,1.11e+19,1.11e+29,11110,61,48,40,0.07,13.62,0.5,0.5,-1,-1,-1,-1,0.5,100,-130,47,53,0.5,-106,-127,48,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
558,6.5,-124,-136,7.0,1,0,-0.1,14.2,32.5,6.93,63,0,0,49,51,70,1100101111,1.1e+19,1.1e+29,11001,59,53,38,0.43,6.57,6.5,6.5,-1,-1,-1,-1,6.5,-115,-115,50,50,6.5,-114,-117,50,50,6.5,-115,-115,50,50,6.5,-111,-115,50,50,6.5,-120,-110,51,49
559,25.5,-120,-141,-7.0,0,0,13.9,-51.4,-27.5,23.96,39,0,0.3,48,52,30,1101000000,1.1e+19,1.1e+29,11010,69,43,62,-1.54,-6.04,25.5,25.5,-1,-1,-1,-1,25.5,-105,-125,48,52,26.5,-110,104,52,48,25.5,-105,-125,48,52,25.5,-111,-115,50,50,26.5,-120,-110,51,49
560,21.5,-141,-120,-6.9,0,0,-0.7,-27.3,-17.5,20.68,43,1,0.3,52,48,50,1010100101,1.01e+19,1.01e+29,10101,63,56,53,-0.82,-3.8,21.5,21.5,-1,-1,-1,-1,21.5,-125,-105,52,48,22.5,110,108,50,50,21.5,-125,-105,52,48,21.5,-115,-111,50,50,20.5,-105,-125,48,52
561,19.5,-139,-121,-6.9,0,0,-3,36.4,-75.0,20.59,20,0,0,52,48,10,100000,1000000000000000.0,9.999999999999999e+24,1,49,40,67,1.09,5.59,19.5,19.5,-1,-1,-1,-1,19.5,-125,-105,52,48,-1,-1,-1,-1,-1,19.5,-125,-105,52,48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
