,Line,Site Less,Site More,Prediction,Lean,DFS Pickem Sites Factor,Sportsbooks Factor,RotoWire Projection Factor,Hit Rate Factor,RotoWire Projection,Weighted Hit Rate,At Home,Average Line Variance,Implied Less ,Implied More ,Hit Rate Last 10,Hit Rate Last 10 Outcomes,Hit Rate Last 20 Outcomes,Hit Rate Last 30 Outcomes,Hit Rate Last 5 Outcomes,Hit Rate Previous Season,Hit Rate Season,Hit Rate Vs Opponent,RotoWire Projection Difference,RotoWire Projection Difference ,PrizePicks,PrizePicks Line,Underdog,Underdog Line,DraftKings Pick6,DraftKings Pick6 Line,BetMGM Line,BetMGM Less,BetMGM More,BetMGM Less ,BetMGM More ,BetRivers Line,BetRivers Less,BetRivers More,BetRivers Less ,BetRivers More ,DraftKings Line,DraftKings Less,DraftKings More,DraftKings Less ,DraftKings More ,FanDuel Line,FanDuel Less,FanDuel More,FanDuel Less ,FanDuel More ,PointsBet Line,PointsBet Less,PointsBet More,PointsBet Less ,PointsBet More 
51,30.5,-129,-130,-7.3,0,0,1.7,-20.0,-32.5,29.9,37,1,0,50,50,40,111100,1110000000000000.0,1.1099999999999998e+25,1,72,51,50,-0.6,-1.97,30.5,30.5,30.5,30.5,-1,-1,30.5,-115,-115,50,50,-1,-1,-1,-1,-1,30.5,-115,-115,50,50,30.5,-102,-125,48,52,30.5,-105,-125,48,52
52,11.5,-139,-121,7.2,1,0,-4.1,75.4,-17.5,13.76,43,0,0,52,48,50,1000111100,1e+19,1.0000000000000001e+29,10001,48,43,67,2.26,19.66,-1,-1,11.5,11.5,-1,-1,11.5,-130,-105,52,48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11.5,-130,100,53,47
53,27.5,-141,-120,6.8,1,0,-1.5,13.9,35.0,27.92,64,1,0,52,48,70,11111101,1.11e+17,1.11e+27,111,37,48,20,0.42,1.51,27.5,27.5,27.5,27.5,-1,-1,27.5,-125,-105,52,48,-1,-1,-1,-1,-1,27.5,-125,-105,52,48,27.5,-113,-113,50,50,27.5,-115,-115,50,50
54,3.5,-127,-134,6.6,1,0,1.6,20.3,20.0,3.91,58,0,0,49,51,50,1100111000,1.1e+19,1.1e+29,11001,8,46,25,0.41,11.62,3.5,3.5,3.5,3.5,-1,-1,3.5,-110,-120,49,51,-1,-1,-1,-1,-1,3.5,-115,-115,50,50,3.5,-104,-122,48,52,3.5,-115,-115,50,50
55,1.5,-148,-115,-6.6,0,-1,-8.3,-12.0,-12.5,1.26,45,0,0,53,47,50,101000111,1.01e+18,1.01e+28,1010,34,34,75,-0.24,-16.05,-1,-1,-1,-1,-1,-1,1.5,-130,100,53,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.5,-136,106,54,46,-1,-1,-1,-1,-1
57,12.5,-150,-113,6.3,1,0,-2.6,30.6,17.5,13.42,57,0,0,53,47,60,1100101101,1.1e+19,1.1e+29,11001,30,44,100,0.92,7.34,12.5,12.5,12.5,12.5,-1,-1,12.5,-135,100,53,47,12.5,106,-105,49,51,12.5,-130,100,53,47,12.5,-120,-106,51,49,12.5,-125,-105,52,48
58,28.5,-141,-120,6.2,1,0,11.4,19.7,-5.0,29.09,48,1,0.2,52,48,50,1101100010,1.1e+19,1.1e+29,11011,-1,17,0,0.59,2.07,28.5,28.5,28.5,28.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28.5,100,-130,47,53,29.5,-125,-102,52,48,28.5,-115,-115,50,50
59,0.5,-117,-143,5.9,1,0,9.2,25.4,-7.5,0.88,47,1,0,48,52,50,1010110001,1.01e+19,1.01e+29,10101,35,28,25,0.38,76.14,0.5,0.5,-1,-1,-1,-1,0.5,100,-130,47,53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60,9.5,-139,-122,5.9,1,0,-1,41.6,0.0,10.75,50,1,0,51,49,60,1011111,1.01e+16,1.01e+26,10,49,55,60,1.25,13.13,9.5,9.5,9.5,9.5,-1,-1,9.5,-120,-110,51,49,-1,-1,-1,-1,-1,9.5,-120,-110,51,49,-1,-1,-1,-1,-1,9.5,-115,-115,50,50
61,1.5,-139,-121,5.8,1,0,-4.2,13.6,35.0,1.77,64,0,0,52,48,80,1001111111,1e+19,1.0000000000000001e+29,10011,52,45,50,0.27,18.16,1.5,1.5,1.5,1.5,-1,-1,1.5,-125,-105,52,48,1.5,-125,-107,52,48,1.5,-125,-105,52,48,1.5,-120,-106,51,49,1.5,-125,-105,52,48
