PLAYER_NAME,PLAYER_ID,OPP,PTS,REB,AST,STL,TOV,BLK,FG3M,DD2,REB_Boost,AST_Boost,STL_Boost,TOV_Boost,BLK_Boost,FG3M_Boost,DD2_Boost
Kenneth Lofton Jr.,1631254,ATL,,,,,,,,,,,,,,,
KJ Martin,1630231,ATL,,,,,,,,,,,,,,,
Marcus Morris Sr.,202694,ATL,,,,,,,,,,,,,,,
Mo Bamba,1628964,ATL,,,,,,,,,,,,,,,
Nicolas Batum,201587,ATL,,,,,,,,,,,,,,,
Patrick Beverley,201976,ATL,,,,,,,,,,,,,,,
Paul Reed,1630194,ATL,9.5,,,,,,0.5,,,,,,,1,
Ricky Council IV,1641741,ATL,,,,,,,,,,,,,,,
Robert Covington,203496,ATL,,,,,,,,,,,,,,,
Terquavion Smith,1631173,ATL,,,,,,,,,,,,,,,
Tobias Harris,202699,ATL,23.5,6.5,4.5,,,0.5,,0.5,,,,,,,1
Tyrese Maxey,1630178,ATL,27.5,3.5,,,,,,0.5,,,,,,,1
Alex Len,203458,DEN,,,,,,,,,,,,,,,
Chris Duarte,1630537,DEN,,,,,,,,,,,,,,,
Colby Jones,1641732,DEN,,,,,,,,,,,,,,,
Davion Mitchell,1630558,DEN,,,,,,,,,,,,,,,
De'Aaron Fox,1628368,DEN,23.5,,,1.5,,,3.5,,,,,,,1,
Domantas Sabonis,1627734,DEN,19.5,,,,,,,,,,,,,,
Harrison Barnes,203084,DEN,12.5,2.5,,0.5,,,,,,,,,,,
Jalen Slawson,1641771,DEN,,,,,,,,,,,,,,,
JaVale McGee,201580,DEN,,,,,,,,,,,,,,,
Jordan Ford,1630259,DEN,,,,,,,,,,,,,,,
Keegan Murray,1631099,DEN,12.5,,,,,,,,,,,,,,
Keon Ellis,1631165,DEN,,,,,,,,,,,,,,,
Kessler Edwards,1630556,DEN,,,,,,,,,,,,,,,
Kevin Huerter,1628989,DEN,12.5,,,,,,3.5,,,,,,,1,
Malik Monk,1628370,DEN,,,,,,,,,,,,,,,
Sasha Vezenkov,1628426,DEN,,,,,,,,,,,,,,,
Trey Lyles,1626168,DEN,,,,,,,,,,,,,,,
Bruce Brown,1628971,HOU,,,,,,,,,,,,,,,
Chris Boucher,1628449,HOU,,,,,,,,,,,,,,,
