,Player,Position,Date,Market Name,Line,Site Less,Site More,Player_Slug,PLAYER_NAME,PLAYER_ID
93,Nick Richards,C,2/27/2024,PTS+REB+AST,20.5,-132,-127,nick-richards,Nick Richards,1630208
94,Nick Richards,C,2/27/2024,Points,10.5,-150,-113,nick-richards,Nick Richards,1630208
95,Nick Richards,C,2/29/2024,Points,9.5,-117,-145,nick-richards,Nick Richards,1630208
96,Nick Richards,C,2/29/2024,PTS+REB+AST,19.5,-141,-120,nick-richards,Nick Richards,1630208
97,Nick Richards,C,3/1/2024,PTS+REB+AST,20.5,-127,-134,nick-richards,Nick Richards,1630208
98,Nick Richards,C,3/1/2024,Points,10.5,-130,-130,nick-richards,Nick Richards,1630208
99,Nick Richards,C,3/3/2024,PTS+REB+AST,23.5,-134,-127,nick-richards,Nick Richards,1630208
100,Nick Richards,C,3/3/2024,Points,12.5,-124,-136,nick-richards,Nick Richards,1630208
101,Nick Richards,C,3/3/2024,Rebounds,9.5,-136,-125,nick-richards,Nick Richards,1630208
102,Nick Richards,C,3/8/2024,PTS+REB+AST,22.5,-136,-124,nick-richards,Nick Richards,1630208
103,Nick Richards,C,3/8/2024,Steals,0.5,-139,-121,nick-richards,Nick Richards,1630208
104,Nick Richards,C,3/8/2024,Rebounds,9.5,-143,-117,nick-richards,Nick Richards,1630208
105,Nick Richards,C,3/9/2024,PTS+REB+AST,20.5,-130,-129,nick-richards,Nick Richards,1630208
106,Nick Richards,C,3/9/2024,Points,10.5,-134,-127,nick-richards,Nick Richards,1630208
107,Nick Richards,C,3/11/2024,Blocks,1.5,-139,-121,nick-richards,Nick Richards,1630208
108,Nick Richards,C,3/11/2024,PTS+REB+AST,23.5,-137,-122,nick-richards,Nick Richards,1630208
109,Nick Richards,C,3/11/2024,Rebounds,9.5,-118,-143,nick-richards,Nick Richards,1630208
110,Nick Richards,C,3/11/2024,Assists,0.5,-129,-130,nick-richards,Nick Richards,1630208
111,Nick Richards,C,3/11/2024,Points,12.5,-125,-134,nick-richards,Nick Richards,1630208
112,Nick Richards,C,3/13/2024,PTS+REB+AST,20.5,-127,-132,nick-richards,Nick Richards,1630208
113,Nick Richards,C,3/13/2024,Rebounds,9.5,-139,-121,nick-richards,Nick Richards,1630208
114,Nick Richards,C,3/13/2024,Points,10.5,-143,-118,nick-richards,Nick Richards,1630208
115,Nick Richards,C,3/13/2024,Assists,0.5,-117,-143,nick-richards,Nick Richards,1630208
116,Nick Richards,C,3/13/2024,Steals,0.5,-143,-118,nick-richards,Nick Richards,1630208
117,Nick Richards,C,3/16/2024,Points,10.5,-137,-122,nick-richards,Nick Richards,1630208
118,Nick Richards,C,3/16/2024,PTS+REB+AST,20.5,-121,-139,nick-richards,Nick Richards,1630208
119,Nick Richards,C,3/16/2024,Rebounds,9.5,-130,-129,nick-richards,Nick Richards,1630208
120,Nick Richards,C,3/16/2024,Assists,0.5,-137,-122,nick-richards,Nick Richards,1630208
121,Nick Richards,C,3/19/2024,PTS+REB+AST,19.5,-143,-118,nick-richards,Nick Richards,1630208
122,Nick Richards,C,3/19/2024,Points,9.5,-143,-118,nick-richards,Nick Richards,1630208
123,Nick Richards,C,3/19/2024,Steals,0.5,-143,-118,nick-richards,Nick Richards,1630208
124,Nick Richards,C,3/19/2024,Assists,0.5,-117,-145,nick-richards,Nick Richards,1630208
125,Nick Richards,C,3/19/2024,Rebounds,9.5,-152,-112,nick-richards,Nick Richards,1630208
126,Paul George,G,2/25/2024,PTS+REB+AST,29.5,-124,-136,paul-george,Paul George,202331
127,Paul George,G,2/25/2024,Points,21.5,-136,-124,paul-george,Paul George,202331
128,Paul George,G,2/25/2024,Assists,3.5,-145,-115,paul-george,Paul George,202331
129,Paul George,G,3/1/2024,PTS+REB+AST,29.5,-141,-120,paul-george,Paul George,202331
130,Paul George,G,3/1/2024,Turnovers,1.5,-113,-150,paul-george,Paul George,202331
131,Paul George,G,3/1/2024,Points,19.5,-125,-134,paul-george,Paul George,202331
132,Paul George,G,3/1/2024,Assists,3.5,-120,-141,paul-george,Paul George,202331
133,Paul George,G,3/1/2024,3PT Made,2.5,-125,-136,paul-george,Paul George,202331
134,Paul George,G,3/1/2024,Rebounds,5.5,-141,-120,paul-george,Paul George,202331
135,Paul George,G,3/3/2024,Points,19.5,-124,-136,paul-george,Paul George,202331
136,Paul George,G,3/3/2024,3PT Made,2.5,-114,-148,paul-george,Paul George,202331
137,Paul George,G,3/3/2024,PTS+REB+AST,28.5,-137,-122,paul-george,Paul George,202331
138,Paul George,G,3/4/2024,PTS+REB+AST,28.5,-127,-132,paul-george,Paul George,202331
139,Paul George,G,3/4/2024,Assists,3.5,-150,-113,paul-george,Paul George,202331
140,Paul George,G,3/4/2024,Points,19.5,-124,-136,paul-george,Paul George,202331
141,Paul George,G,3/6/2024,Points,21.5,-137,-124,paul-george,Paul George,202331
142,Paul George,G,3/6/2024,Steals,1.5,-141,-120,paul-george,Paul George,202331
143,Paul George,G,3/6/2024,PTS+REB+AST,30.5,-125,-134,paul-george,Paul George,202331
144,Paul George,G,3/6/2024,Rebounds,5.5,-120,-141,paul-george,Paul George,202331
145,Paul George,G,3/9/2024,Points,22.5,-137,-122,paul-george,Paul George,202331
146,Paul George,G,3/9/2024,3PT Made,3.5,-132,-127,paul-george,Paul George,202331
147,Paul George,G,3/9/2024,PTS+REB+AST,31.5,-136,-125,paul-george,Paul George,202331
148,Paul George,G,3/9/2024,Assists,3.5,-150,-113,paul-george,Paul George,202331
149,Paul George,G,3/9/2024,Rebounds,5.5,-145,-117,paul-george,Paul George,202331
150,Paul George,G,3/12/2024,PTS+REB+AST,30.5,-120,-141,paul-george,Paul George,202331
151,Paul George,G,3/12/2024,Points,21.5,-141,-120,paul-george,Paul George,202331
152,Paul George,G,3/12/2024,Turnovers,2.5,-137,-122,paul-george,Paul George,202331
153,Paul George,G,3/12/2024,Steals,1.5,-136,-124,paul-george,Paul George,202331
154,Paul George,G,3/12/2024,Rebounds,5.5,-125,-134,paul-george,Paul George,202331
155,Paul George,G,3/15/2024,PTS+REB+AST,30.5,-121,-139,paul-george,Paul George,202331
156,Paul George,G,3/15/2024,Points,21.5,-136,-124,paul-george,Paul George,202331
157,Paul George,G,3/17/2024,PTS+REB+AST,33.5,-136,-124,paul-george,Paul George,202331
158,Paul George,G,3/17/2024,Rebounds,5.5,-148,-114,paul-george,Paul George,202331
159,Paul George,G,3/17/2024,Assists,4.5,-124,-137,paul-george,Paul George,202331
160,Paul George,G,3/17/2024,Points,22.5,-121,-139,paul-george,Paul George,202331
161,Paul George,G,4/2/2024,Points,26.5,-125,-134,paul-george,Paul George,202331
162,Paul George,G,4/2/2024,PTS+REB+AST,35.5,-127,-132,paul-george,Paul George,202331
163,Paul George,G,4/2/2024,Rebounds,5.5,-152,-112,paul-george,Paul George,202331
